ano,rede,localizacao,disciplina,serie,media,nivel_0,nivel_1,nivel_2,nivel_3,nivel_4,nivel_5,nivel_6,nivel_7,nivel_8,nivel_9,nivel_10
1995,estadual,total,LP,9,246.59314150356437,19.413482684514,13.417059498344344,16.852103256704019,18.188649377063307,14.732565537348648,10.931324172548706,5.0090422254394618,1.4557732480375114,0,,
1995,municipal,total,MT,12,264.25317618464538,22.386232115000755,13.638027419140156,17.067083721549313,17.236789564754424,21.063489950752029,8.6416877412485018,3.4290563024091574,1.7020497803806736,0.0865167043790762,0,0
1995,municipal,total,LP,12,273.6180011729669,17.135298815386662,13.638027419140156,17.067083721549313,17.236789564754424,21.063489950752029,8.6416877412485018,3.4290563024091574,1.7020497803806736,0.0865167043790762,,
1995,federal,total,MT,9,246.28183864584815,15.036792180597995,16.77845520935842,21.95165037624583,21.099455423933229,14.205869730893593,6.8593647105829776,3.2204719165969915,0.72021294700002225,0.12208566714267741,0.00564183764826,
1995,federal,total,LP,9,252.03491292096535,14.110998526160648,14.157332350773766,18.8123618275608,19.4252947678703,16.557295504789977,10.603997789240973,4.9816691230655863,1.2225497420781135,0.12850036845983781,,
1995,"total - federal, estadual, municipal e privada",total,LP,9,256.2271748875097,13.427316514692841,12.829595008638996,17.474086290393359,18.535850846018924,16.81853133158414,12.494187181277418,6.3462226175302821,1.8771310939626591,0.19707911590138311,,
1995,"total - federal, estadual e municipal",total,LP,9,256.2271748875097,13.427316514692841,12.829595008638996,17.474086290393359,18.535850846018924,16.81853133158414,12.494187181277418,6.3462226175302821,1.8771310939626591,0.19707911590138311,,
1995,total - estadual e municipal,total,MT,12,272.53698967293838,15.748030166401543,11.746308338723328,15.669005009785126,18.59789199947458,17.669593613812573,13.473378969543898,6.5310106198133431,2.6224470963032678,0.295632192317221,0,0
1995,total - estadual e municipal,total,LP,12,283.80838585321806,13.394732160226662,11.746308338723328,15.669005009785126,18.59789199947458,17.669593613812573,13.473378969543898,6.5310106198133431,2.6224470963032678,0.295632192317221,,
1995,"total - federal, estadual e municipal",total,LP,12,284.53059604744431,13.260576553909996,11.634168456995353,15.521537041423985,18.42456521561548,17.512927126134443,13.740085118896886,6.8778029195291506,2.7117148762018348,0.316622691292876,,
