ano,rede,localizacao,sigla_uf,disciplina,serie,media,nivel_0,nivel_1,nivel_2,nivel_3,nivel_4,nivel_5,nivel_6,nivel_7,nivel_8,nivel_9,nivel_10
2001,"total - federal, estadual e municipal",total,AC,MT,5,153.58431768295446,21.100633331891146,29.018710176531538,26.482409159700545,13.437661102668713,6.2403692482282134,2.5712276386124926,1.0442849582857543,0.10470438408231543,0,0,0
1999,"total - federal, estadual, municipal e privada",total,AC,LP,5,154.24085173414977,21.756550826199568,27.586806815605659,24.778439397742559,16.894323525769622,6.097203644302347,1.8165849006752637,1.0700908897048964,0,0,0,
1999,"total - federal, estadual e municipal",total,AC,LP,5,154.24085173414977,21.756550826199568,27.586806815605659,24.778439397742559,16.894323525769622,6.097203644302347,1.8165849006752637,1.0700908897048964,0,0,0,
1999,estadual,total,AC,LP,5,155.11154709097062,18.784283504426028,29.411372922498991,25.222983259497159,15.13248967104586,8.1470248540407315,3.3018457884912227,0,0,0,0,
2003,federal,total,AC,LP,5,155.48724835737042,23.084279833981917,21.686692208046288,25.824257915261729,15.401176862056088,12.20636383931585,1.3576847261474159,0.29049121708222775,0,0.14905339810835685,0,
2003,federal,total,AC,MT,5,155.68058432484676,17.102198296008162,26.354878866010523,30.43215167120978,17.429352066845809,6.3238033505591114,2.1236162300488703,0.23399951931793303,0,0,0,0
2001,total - estadual e municipal,total,AC,MT,5,156.90537391947908,15.934070347387186,30.898987356381955,28.339002244456335,13.255811050959913,7.5813020713429013,2.0390606821254038,1.6466472236917133,0.30511902365471377,0,0,0
1999,total - estadual e municipal,total,AC,LP,5,157.28399105890117,18.870107756535365,27.335059000814223,24.8542635508662,15.476114549985828,8.98379290882652,3.0687499586581271,1.411912274313752,0,0,0,
2003,"total - federal, estadual e municipal",total,AC,LP,5,159.09066352783856,21.446618642561347,20.469168363810347,25.306578508176617,15.762497675605767,13.00979719081802,2.6101680238221157,1.0441503620551333,0.2544399146575641,0.0965813184933794,0,
2003,"total - federal, estadual, municipal e privada",total,AC,LP,5,159.09066352783856,21.446618642561347,20.469168363810347,25.306578508176617,15.762497675605767,13.00979719081802,2.6101680238221157,1.0441503620551333,0.2544399146575641,0.0965813184933794,0,
2003,"total - federal, estadual e municipal",total,AC,MT,5,160.31838965125471,14.597303158266477,25.261528209749187,29.12770624631608,17.932737861749064,8.9308559934688141,3.2645498963462809,0.46485198172507419,0.42046665237917441,0,0,0
2003,"total - federal, estadual, municipal e privada",total,AC,MT,5,160.31838965125471,14.597303158266477,25.261528209749187,29.12770624631608,17.932737861749064,8.9308559934688141,3.2645498963462809,0.46485198172507419,0.42046665237917441,0,0,0
1997,federal,total,AC,LP,5,160.68711912709909,13.339756030956629,28.068875651382953,28.83457382215903,17.480024759288877,9.2603999787655464,2.1661087685413434,0.30835588060232166,0.541905108303215,0,0,
1999,federal,total,AC,MT,5,161.15084451016165,9.5522540342877278,32.926370360257422,27.117879664488594,17.906965706712484,10.863463604910496,1.6330666293434184,0,0,0,0,0
1997,estadual,total,AC,LP,5,161.95769285441759,9.4435230429351567,32.618829086048272,24.219892705432063,19.873187201023711,10.9246202987118,2.6165080499906215,0.30343961585893681,0,0,0,
2003,estadual,total,AC,LP,5,162.47847901180248,19.985961678515636,19.085542384781085,24.522498923845234,15.918945096396566,14.198096229369558,3.5328010801832925,2.406828678874851,0.34932592803414381,0,0,
1997,"total - federal, estadual, municipal e privada",total,AC,LP,5,163.2473190194047,11.911248569674587,27.707882378077009,27.080179277927748,18.938850430978768,9.974203935781027,2.9274073443168271,0.77663357127526367,0.65199848722452,0.031596004743513956,0,
1997,"total - federal, estadual e municipal",total,AC,LP,5,163.2473190194047,11.911248569674587,27.707882378077009,27.080179277927748,18.938850430978768,9.974203935781027,2.9274073443168271,0.77663357127526367,0.65199848722452,0.031596004743513956,0,
1995,federal,total,AC,LP,5,163.58333824545582,17.485353762956287,22.322367432777526,21.406038756196484,18.116268589454709,12.573231185218567,5.8134294727354661,2.2833108006609586,0,0,0,
2003,estadual,total,AC,MT,5,163.99121007037311,11.288796656844195,24.722103460674994,28.658571879604342,19.216560219778319,11.953092112186932,3.1413589463621743,0.67299702255665594,0.3465197019925636,0,0,0
1997,federal,total,AC,MT,5,164.07077497302046,5.5479764607440254,30.898756983650948,31.094009263150678,20.237552344770574,8.5786485514705326,3.2176647117029313,0.42539168451021664,0,0,0,0
1999,"total - federal, estadual, municipal e privada",total,AC,MT,5,164.22330233471828,9.3265451627706852,29.359673571816565,27.18169127221601,20.3315748028564,10.282693190313665,2.0909660554231126,0.92656822138557149,0,0.50028772321813664,0,0
1999,"total - federal, estadual e municipal",total,AC,MT,5,164.22330233471828,9.3265451627706852,29.359673571816565,27.18169127221601,20.3315748028564,10.282693190313665,2.0909660554231126,0.92656822138557149,0,0.50028772321813664,0,0
1999,estadual,total,AC,MT,5,164.97781810273958,9.5991393106691056,23.208933101720664,29.746977652871045,26.310787940894038,7.99642486824847,1.6276177011187294,1.5101194244778968,0,0,0,0
2003,total - estadual e municipal,total,AC,LP,5,165.723192499369,18.432301728243669,18.228165929062627,24.353725866161462,16.427553088461263,14.488615125594187,4.9155176338998645,2.4313527456880992,0.72276788288918525,0,0,
1995,federal,total,AC,MT,5,166.75335824175821,3.9055539055539055,22.304722304722304,42.055242055242054,19.498069498069498,7.1131571131571132,4.6926046926046929,0,0.43065043065043063,0,0,0
2005,federal,total,AC,LP,5,166.80592672513538,9.928932101096871,24.649279748063744,28.010595557453627,18.2563734574712,13.541303504269663,4.4041545479919035,1.2093610836532822,0,0,0,
1995,estadual,total,AC,MT,5,167.31789802306426,0,23.393739703459637,49.038989566172432,16.364634816035146,5.7111477210323995,5.4914881933003841,0,0,0,0,0
